ID,Effect[0],Effect[1],Effect[2],EffectPointsMin[0],EffectPointsMin[1],EffectPointsMin[2],EffectPointsMax[0],EffectPointsMax[1],EffectPointsMax[2],EffectArg[0],EffectArg[1],EffectArg[2],Name_lang[0],ItemVisual,Flags
285,1,0,0,100,0,0,100,0,0,8248,0,0,Flametongue Totem 2,0,0
289,3,0,0,0,0,0,0,0,0,7723,0,0,+8 Weapon Fire Damage,0,0
1,3,0,0,0,0,0,0,0,0,15568,0,0,Rockbiter 3,0,0
2,1,0,0,0,0,0,0,0,0,8034,0,0,Frostbrand 1,0,0
4,1,0,0,100,0,0,100,0,0,8028,0,0,Flametongue 2,0,0
8,1,0,0,30,0,0,30,0,0,2819,0,0,Deadly Poison II,0,0
9,1,0,0,30,0,0,30,0,0,2820,0,0,Poison (15 Dmg),0,0
10,1,0,0,30,0,0,30,0,0,2821,0,0,Poison (20 Dmg),0,0
13,2,0,0,3,0,0,3,0,0,0,0,0,Sharpened +3,0,0
15,4,0,0,8,0,0,8,0,0,0,0,0,Reinforced Armor +8,0,0
18,4,0,0,32,0,0,32,0,0,0,0,0,Reinforced Armor +32,0,0
19,2,0,0,2,0,0,2,0,0,0,0,0,Weighted +2,0,0
20,2,0,0,3,0,0,3,0,0,0,0,0,Weighted +3,0,0
23,1,0,0,20,0,0,20,0,0,8692,0,0,Mind-numbing Poison II,0,0
26,1,0,0,10,0,0,10,0,0,205,0,0,Frost Oil,0,0
29,3,0,0,0,0,0,0,0,0,10400,0,0,Rockbiter 1,0,0
30,2,0,0,1,0,0,1,0,0,0,0,0,Scope (+1 Damage),0,0
33,2,0,0,3,0,0,3,0,0,0,0,0,Scope (+3 Damage),0,0
34,3,0,0,0,0,0,0,0,0,7217,0,0,Counterweight +3% Attack Speed,0,0
35,1,0,0,20,0,0,20,0,0,5760,0,0,Mind Numbing Poison,0,0
38,3,0,0,0,0,0,0,0,0,7427,0,0,Defense Skill +3,0,0
40,2,0,0,2,0,0,2,0,0,0,0,0,Sharpened +2,0,0
41,3,0,0,0,0,0,0,0,0,7419,0,0,Health +5,0,0
43,3,0,0,0,0,0,0,0,0,9784,0,0,Iron Spike (8-12),0,0
44,3,0,0,0,0,0,0,0,0,7445,0,0,Absorption (10),0,0
66,3,0,0,0,0,0,0,0,0,7455,0,0,Stamina +1,0,0
67,2,0,0,1,0,0,1,0,0,0,0,0,+1 Damage,0,0
69,3,0,0,0,0,0,0,0,0,7465,0,0,+2 Strength,0,0
71,3,0,0,0,0,0,0,0,0,7477,0,0,+1 Stamina,0,0
72,3,0,0,0,0,0,0,0,0,7478,0,0,+2 Stamina,0,0
73,3,0,0,0,0,0,0,0,0,7479,0,0,+3 Stamina,0,0
75,3,0,0,0,0,0,0,0,0,7472,0,0,+2 Agility,0,0
76,3,0,0,0,0,0,0,0,0,7473,0,0,+3 Agility,0,0
78,2,0,0,3,0,0,3,0,0,0,0,0,+3 Damage,0,0
79,3,0,0,0,0,0,0,0,0,7468,0,0,+1 Intellect,0,0
82,3,0,0,0,0,0,0,0,0,7474,0,0,+1 Spirit,0,0
83,3,0,0,0,0,0,0,0,0,7475,0,0,+2 Spirit,0,0
85,4,0,0,3,0,0,3,0,0,0,0,0,+3 Armor,0,0
86,4,0,0,8,0,0,8,0,0,0,0,0,+8 Armor,0,0
89,4,0,0,16,0,0,16,0,0,0,0,0,+16 Armor,0,0
91,3,0,0,0,0,0,0,0,0,7491,0,0,+5 Agility,0,0
92,3,0,0,0,0,0,0,0,0,7492,0,0,+6 Agility,0,0
95,3,0,0,0,0,0,0,0,0,7495,0,0,+5 Intellect,0,0
97,3,0,0,0,0,0,0,0,0,7497,0,0,+7 Intellect,0,0
98,3,0,0,0,0,0,0,0,0,7498,0,0,+4 Spirit,0,0
99,3,0,0,0,0,0,0,0,0,7499,0,0,+5 Spirit,0,0
101,3,0,0,0,0,0,0,0,0,7501,0,0,+7 Spirit,0,0
104,3,0,0,0,0,0,0,0,0,7504,0,0,+6 Stamina,0,0
105,3,0,0,0,0,0,0,0,0,7505,0,0,+7 Stamina,0,0
107,3,0,0,0,0,0,0,0,0,7507,0,0,+5 Strength,0,0
108,3,0,0,0,0,0,0,0,0,7508,0,0,+6 Strength,0,0
109,3,0,0,0,0,0,0,0,0,7509,0,0,+7 Strength,0,0
112,3,0,0,0,0,0,0,0,0,7514,0,0,Defense +3,0,0
113,3,0,0,0,0,0,0,0,0,7515,0,0,Defense +4,0,0
115,3,0,0,0,0,0,0,0,0,7517,0,0,Defense +6,0,0
194,3,0,0,0,0,0,0,0,0,7596,0,0,+14 Beast Slaying,0,0
198,3,0,0,0,0,0,0,0,0,7600,0,0,Critical Hit +4%,0,0
203,3,0,0,0,0,0,0,0,0,7617,0,0,10% On Get Hit: Shadow Bolt (50 Damage),0,0
204,3,0,0,0,0,0,0,0,0,7618,0,0,10% On Get Hit: Shadow Bolt (60 Damage),0,0
206,3,0,0,0,0,0,0,0,0,7675,0,0,Increases Healing +2,0,0
207,3,0,0,0,0,0,0,0,0,7676,0,0,Increases Healing +4,0,0
208,3,0,0,0,0,0,0,0,0,7677,0,0,Increases Healing +7,0,0
211,3,0,0,0,0,0,0,0,0,7680,0,0,Increases Healing +13,0,0
213,3,0,0,0,0,0,0,0,0,7683,0,0,Increase Fire Effects +1,0,0
214,3,0,0,0,0,0,0,0,0,7684,0,0,Increases Fire Effects +3,0,0
216,3,0,0,0,0,0,0,0,0,7686,0,0,Increases Fire Effects +6,0,0
220,3,0,0,0,0,0,0,0,0,7690,0,0,Increases Nature Effects +1,0,0
221,3,0,0,0,0,0,0,0,0,7691,0,0,Increases Nature Effects +3,0,0
223,3,0,0,0,0,0,0,0,0,7693,0,0,Increases Nature Effects +6,0,0
224,3,0,0,0,0,0,0,0,0,7694,0,0,Increases Nature Effects +7,0,0
227,3,0,0,0,0,0,0,0,0,7697,0,0,Increases Frost Effects +1,0,0
229,3,0,0,0,0,0,0,0,0,7699,0,0,Increases Frost Effects +4,0,0
232,3,0,0,0,0,0,0,0,0,7702,0,0,Increases Frost Effects +9,0,0
236,3,0,0,0,0,0,0,0,0,7706,0,0,Increases Shadow Effects +4,0,0
239,3,0,0,0,0,0,0,0,0,7710,0,0,Increases Shadow Effects +9,0,0
241,2,0,0,2,0,0,2,0,0,0,0,0,Weapon Damage +2,0,0
242,3,0,0,0,0,0,0,0,0,7747,0,0,Health +15,0,0
246,3,0,0,0,0,0,0,0,0,7773,0,0,Mana +20,0,0
247,3,0,0,0,0,0,0,0,0,7778,0,0,Agility +1,0,0
250,2,0,0,1,0,0,1,0,0,0,0,0,Weapon Damage +1 ,0,0
252,3,0,0,0,0,0,0,0,0,7847,0,0,Spirit +6,0,0
253,3,0,0,0,0,0,0,0,0,7849,0,0,Absorption (50),0,0
257,4,0,0,10,0,0,10,0,0,0,0,0,Armor +10,0,0
117,2,0,0,4,0,0,4,0,0,0,0,0,+4 Damage,0,0
132,3,0,0,0,0,0,0,0,0,7529,0,0,Two-Handed Sword Skill +1,0,0
166,3,0,0,0,0,0,0,0,0,7554,0,0,Two-Handed Axe Skill +7,0,0
167,3,0,0,0,0,0,0,0,0,7534,0,0,Dagger Skill +1,0,0
182,3,0,0,0,0,0,0,0,0,7567,0,0,Bow Skill +2,0,0
195,3,0,0,0,0,0,0,0,0,7597,0,0,Critical Hit +1%,0,0
238,3,0,0,0,0,0,0,0,0,7708,0,0,Increases Shadow Effects +7,0,0
256,3,0,0,0,0,0,0,0,0,7852,0,0,+5 Fire Resistance,0,0
143,3,0,0,0,0,0,0,0,0,7546,0,0,Mace Skill +5,0,0
68,3,0,0,0,0,0,0,0,0,7464,0,0,+1 Strength,0,0
263,3,0,0,0,0,0,0,0,0,8082,0,0,Fishing Lure +25,0,0
264,3,0,0,0,0,0,0,0,0,8083,0,0,Fishing Lure +50,0,0
265,3,0,0,0,0,0,0,0,0,8084,0,0,Fishing Lure +75,0,0
199,3,0,0,0,0,0,0,0,0,7601,0,0,10% On Get Hit: Shadow Bolt (10 Damage),0,0
283,1,0,0,20,0,0,20,0,0,8233,0,0,Windfury 1,0,0
284,1,0,0,20,0,0,20,0,0,8236,0,0,Windfury 2,0,0
119,2,0,0,6,0,0,6,0,0,0,0,0,+6 Damage,0,0
121,4,0,0,20,0,0,20,0,0,0,0,0,+20 Armor,0,0
122,4,0,0,24,0,0,24,0,0,0,0,0,+24 Armor,0,0
